timestamp,segment_id,pressure,temperature,vibration,flow_rate
2025-03-15 11:00:00,A1,8.27,20.1,0.039,171.7
2025-03-15 11:00:00,A2,8.48,23.5,0.064,158.6
2025-03-15 11:00:00,A3,7.87,20.2,0.039,199.9
2025-03-15 11:00:00,A4,7.0,21.1,0.054,204.3
2025-03-15 11:00:00,A5,7.47,23.0,0.061,150.0
2025-03-15 11:00:00,A6,8.61,23.5,0.043,165.8
2025-03-15 11:00:00,A7,8.93,21.7,0.033,159.5
2025-03-15 11:00:00,A8,8.7,23.0,0.061,222.6
2025-03-15 11:00:00,A9,8.08,24.8,0.046,204.6
2025-03-15 11:00:00,A10,8.66,23.1,0.066,207.2
2025-03-15 11:00:01,A1,8.27,20.1,0.04,170.8
2025-03-15 11:00:01,A2,8.47,23.5,0.064,157.7
2025-03-15 11:00:01,A3,7.84,20.2,0.038,200.8
2025-03-15 11:00:01,A4,7.01,21.2,0.054,204.0
2025-03-15 11:00:01,A5,7.5,23.0,0.059,150.2
2025-03-15 11:00:01,A6,8.62,23.5,0.042,165.7
2025-03-15 11:00:01,A7,8.96,21.7,0.032,160.4
2025-03-15 11:00:01,A8,8.72,23.0,0.06,222.5
2025-03-15 11:00:01,A9,8.11,24.8,0.044,204.7
2025-03-15 11:00:01,A10,8.67,23.1,0.064,207.3
2025-03-15 11:00:02,A1,8.26,20.0,0.04,170.7
2025-03-15 11:00:02,A2,8.44,23.6,0.063,157.9
2025-03-15 11:00:02,A3,7.83,20.2,0.038,201.8
2025-03-15 11:00:02,A4,7.02,21.1,0.058,204.6
2025-03-15 11:00:02,A5,7.54,22.9,0.059,149.9
2025-03-15 11:00:02,A6,8.63,23.6,0.043,166.0
2025-03-15 11:00:02,A7,8.96,21.8,0.031,160.3
2025-03-15 11:00:02,A8,8.74,23.0,0.059,222.4
2025-03-15 11:00:02,A9,8.14,24.8,0.043,204.4
2025-03-15 11:00:02,A10,8.65,23.1,0.064,207.0
2025-03-15 11:00:03,A1,8.28,20.0,0.038,170.2
2025-03-15 11:00:03,A2,8.47,23.7,0.062,158.5
2025-03-15 11:00:03,A3,7.81,20.2,0.035,201.5
2025-03-15 11:00:03,A4,7.01,21.1,0.057,205.1
2025-03-15 11:00:03,A5,7.52,23.0,0.059,150.1
2025-03-15 11:00:03,A6,8.64,23.6,0.044,166.4
2025-03-15 11:00:03,A7,8.99,21.7,0.03,160.4
2025-03-15 11:00:03,A8,8.73,22.9,0.06,222.5
2025-03-15 11:00:03,A9,8.15,24.7,0.042,203.4
2025-03-15 11:00:03,A10,8.66,23.1,0.063,206.7
2025-03-15 11:00:04,A1,8.28,20.0,0.037,169.8
2025-03-15 11:00:04,A2,8.5,23.6,0.062,158.7
2025-03-15 11:00:04,A3,7.84,20.2,0.035,201.1
2025-03-15 11:00:04,A4,6.99,21.1,0.058,205.2
2025-03-15 11:00:04,A5,7.54,23.0,0.059,149.5
2025-03-15 11:00:04,A6,8.66,23.6,0.045,166.0
2025-03-15 11:00:04,A7,9.01,21.7,0.029,160.4
2025-03-15 11:00:04,A8,8.74,22.9,0.059,222.5
2025-03-15 11:00:04,A9,8.19,24.6,0.043,202.4
2025-03-15 11:00:04,A10,8.67,23.1,0.064,206.3
2025-03-15 11:00:05,A1,8.28,19.9,0.036,169.5
2025-03-15 11:00:05,A2,8.5,23.6,0.062,158.1
2025-03-15 11:00:05,A3,7.85,20.2,0.035,201.1
2025-03-15 11:00:05,A4,7.02,21.0,0.058,205.9
2025-03-15 11:00:05,A5,7.56,23.0,0.059,149.4
2025-03-15 11:00:05,A6,8.68,23.7,0.045,166.3
2025-03-15 11:00:05,A7,9.01,21.7,0.028,159.8
2025-03-15 11:00:05,A8,8.73,22.9,0.059,222.6
2025-03-15 11:00:05,A9,8.16,24.6,0.043,201.6
2025-03-15 11:00:05,A10,8.7,23.1,0.063,206.5
2025-03-15 11:00:06,A1,8.28,19.9,0.036,169.9
2025-03-15 11:00:06,A2,8.5,23.6,0.059,158.6
2025-03-15 11:00:06,A3,8.29,20.4,0.037,194.1
2025-03-15 11:00:06,A4,6.99,21.1,0.056,205.9
2025-03-15 11:00:06,A5,7.55,22.9,0.058,150.0
2025-03-15 11:00:06,A6,8.73,23.8,0.045,166.8
2025-03-15 11:00:06,A7,9.01,21.7,0.029,159.6
2025-03-15 11:00:06,A8,8.69,22.9,0.057,222.5
2025-03-15 11:00:06,A9,8.15,24.6,0.043,200.5
2025-03-15 11:00:06,A10,8.73,23.0,0.063,207.3
2025-03-15 11:00:07,A1,8.26,19.9,0.035,169.6
2025-03-15 11:00:07,A2,8.47,23.6,0.057,158.3
2025-03-15 11:00:07,A3,8.73,20.6,0.038,187.2
2025-03-15 11:00:07,A4,6.96,21.1,0.057,205.6
2025-03-15 11:00:07,A5,7.54,22.9,0.058,149.6
2025-03-15 11:00:07,A6,8.74,23.8,0.046,166.3
2025-03-15 11:00:07,A7,8.99,21.7,0.028,159.9
