timestamp,segment_id,pressure,temperature,vibration,flow_rate
2025-03-15 11:00:00,A1,7.99,23.5,0.046,203.3
2025-03-15 11:00:00,A2,8.17,20.9,0.043,236.6
2025-03-15 11:00:00,A3,8.92,23.6,0.066,179.9
2025-03-15 11:00:00,A4,7.1,22.7,0.065,186.4
2025-03-15 11:00:00,A5,8.1,21.7,0.041,170.7
2025-03-15 11:00:00,A6,8.39,21.0,0.031,172.0
2025-03-15 11:00:00,A7,8.49,24.6,0.048,243.7
2025-03-15 11:00:00,A8,8.52,20.1,0.053,180.6
2025-03-15 11:00:00,A9,8.59,20.5,0.03,216.4
2025-03-15 11:00:00,A10,8.09,23.7,0.046,204.0
2025-03-15 11:00:01,A1,8.01,23.5,0.047,203.4
2025-03-15 11:00:01,A2,8.19,20.9,0.042,236.2
2025-03-15 11:00:01,A3,8.9,23.6,0.067,180.0
2025-03-15 11:00:01,A4,7.12,22.7,0.067,186.5
2025-03-15 11:00:01,A5,8.06,21.6,0.041,170.3
2025-03-15 11:00:01,A6,8.4,21.0,0.029,172.3
2025-03-15 11:00:01,A7,8.48,24.5,0.048,243.9
2025-03-15 11:00:01,A8,8.51,20.0,0.055,180.9
2025-03-15 11:00:01,A9,8.62,20.5,0.029,216.3
2025-03-15 11:00:01,A10,8.12,23.7,0.045,203.8
2025-03-15 11:00:02,A1,8.02,23.5,0.045,202.7
2025-03-15 11:00:02,A2,8.19,20.9,0.041,235.3
2025-03-15 11:00:02,A3,8.89,23.7,0.069,180.4
2025-03-15 11:00:02,A4,7.11,22.7,0.066,186.9
2025-03-15 11:00:02,A5,8.07,21.7,0.042,170.4
2025-03-15 11:00:02,A6,8.42,21.0,0.029,172.4
2025-03-15 11:00:02,A7,8.54,24.5,0.045,243.7
2025-03-15 11:00:02,A8,8.52,20.0,0.054,180.8
2025-03-15 11:00:02,A9,8.62,20.5,0.029,217.4
2025-03-15 11:00:02,A10,8.14,23.7,0.044,203.1
2025-03-15 11:00:03,A1,8.03,23.4,0.045,201.7
2025-03-15 11:00:03,A2,8.22,20.9,0.041,234.8
2025-03-15 11:00:03,A3,8.91,23.7,0.07,181.3
2025-03-15 11:00:03,A4,7.1,22.7,0.065,186.9
2025-03-15 11:00:03,A5,8.09,21.7,0.042,170.1
2025-03-15 11:00:03,A6,8.43,21.0,0.03,173.0
2025-03-15 11:00:03,A7,8.58,24.6,0.044,243.4
2025-03-15 11:00:03,A8,8.51,20.0,0.054,180.5
2025-03-15 11:00:03,A9,8.65,20.5,0.028,217.8
