
λ=(1.5, 0.95, 0.03, 0.01) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.31583, R̄=0.786, 1.0s
  .. 1200/12000 frames, avg util=0.25585, R̄=0.787, 2.1s
  .. 1800/12000 frames, avg util=0.22037, R̄=0.786, 3.2s
  .. 2400/12000 frames, avg util=0.25387, R̄=0.782, 4.2s
  .. 3000/12000 frames, avg util=0.25985, R̄=0.782, 5.3s
  .. 3600/12000 frames, avg util=0.27368, R̄=0.784, 6.3s
  .. 4200/12000 frames, avg util=0.28664, R̄=0.784, 7.4s
  .. 4800/12000 frames, avg util=0.29372, R̄=0.785, 8.4s
  .. 5400/12000 frames, avg util=0.28056, R̄=0.785, 9.5s
  .. 6000/12000 frames, avg util=0.29306, R̄=0.786, 10.6s
  .. 6600/12000 frames, avg util=0.29318, R̄=0.786, 11.6s
  .. 7200/12000 frames, avg util=0.27467, R̄=0.786, 12.6s
  .. 7800/12000 frames, avg util=0.27455, R̄=0.786, 13.7s
  .. 8400/12000 frames, avg util=0.28588, R̄=0.783, 14.8s
  .. 9000/12000 frames, avg util=0.28690, R̄=0.782, 15.8s
  .. 9600/12000 frames, avg util=0.28777, R̄=0.782, 16.8s
  .. 10200/12000 frames, avg util=0.28520, R̄=0.781, 17.9s
  .. 10800/12000 frames, avg util=0.28204, R̄=0.781, 18.9s
  .. 11400/12000 frames, avg util=0.28495, R̄=0.781, 20.0s
  .. 12000/12000 frames, avg util=0.28527, R̄=0.781, 21.0s
λ=(1.5, 0.95, 0.03, 0.01): util=0.28527  R̄=0.781
λ=(1.5, 0.95, 0.03, 0.02) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.31570, R̄=0.785, 1.1s
  .. 1200/12000 frames, avg util=0.25567, R̄=0.787, 2.1s
  .. 1800/12000 frames, avg util=0.22023, R̄=0.786, 3.1s
  .. 2400/12000 frames, avg util=0.25370, R̄=0.782, 4.2s
  .. 3000/12000 frames, avg util=0.25967, R̄=0.782, 5.2s
  .. 3600/12000 frames, avg util=0.27349, R̄=0.784, 6.3s
  .. 4200/12000 frames, avg util=0.28646, R̄=0.784, 7.4s
  .. 4800/12000 frames, avg util=0.29354, R̄=0.785, 8.4s
  .. 5400/12000 frames, avg util=0.28037, R̄=0.785, 9.5s
  .. 6000/12000 frames, avg util=0.29288, R̄=0.786, 10.5s
  .. 6600/12000 frames, avg util=0.29300, R̄=0.786, 11.6s
  .. 7200/12000 frames, avg util=0.27449, R̄=0.786, 12.6s
  .. 7800/12000 frames, avg util=0.27436, R̄=0.786, 13.7s
  .. 8400/12000 frames, avg util=0.28570, R̄=0.783, 14.7s
  .. 9000/12000 frames, avg util=0.28672, R̄=0.782, 15.8s
  .. 9600/12000 frames, avg util=0.28760, R̄=0.782, 16.8s
  .. 10200/12000 frames, avg util=0.28502, R̄=0.781, 17.9s
  .. 10800/12000 frames, avg util=0.28186, R̄=0.781, 18.9s
  .. 11400/12000 frames, avg util=0.28476, R̄=0.781, 20.0s
  .. 12000/12000 frames, avg util=0.28509, R̄=0.781, 21.0s
λ=(1.5, 0.95, 0.03, 0.02): util=0.28509  R̄=0.781
λ=(1.5, 0.95, 0.04, 0.01) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.31128, R̄=0.785, 1.0s
  .. 1200/12000 frames, avg util=0.25095, R̄=0.786, 2.1s
  .. 1800/12000 frames, avg util=0.21564, R̄=0.785, 3.1s
  .. 2400/12000 frames, avg util=0.24917, R̄=0.781, 4.2s
  .. 3000/12000 frames, avg util=0.25518, R̄=0.782, 5.2s
  .. 3600/12000 frames, avg util=0.26895, R̄=0.783, 6.2s
  .. 4200/12000 frames, avg util=0.28192, R̄=0.783, 7.3s
  .. 4800/12000 frames, avg util=0.28900, R̄=0.785, 8.3s
  .. 5400/12000 frames, avg util=0.27586, R̄=0.785, 9.4s
  .. 6000/12000 frames, avg util=0.28838, R̄=0.785, 10.4s
  .. 6600/12000 frames, avg util=0.28852, R̄=0.785, 11.5s
  .. 7200/12000 frames, avg util=0.26997, R̄=0.785, 12.5s
  .. 7800/12000 frames, avg util=0.26983, R̄=0.786, 13.5s
  .. 8400/12000 frames, avg util=0.28135, R̄=0.782, 14.6s
  .. 9000/12000 frames, avg util=0.28241, R̄=0.782, 15.6s
  .. 9600/12000 frames, avg util=0.28327, R̄=0.782, 16.7s
  .. 10200/12000 frames, avg util=0.28070, R̄=0.781, 17.7s
  .. 10800/12000 frames, avg util=0.27755, R̄=0.780, 18.8s
  .. 11400/12000 frames, avg util=0.28044, R̄=0.780, 19.8s
  .. 12000/12000 frames, avg util=0.28077, R̄=0.780, 20.9s
λ=(1.5, 0.95, 0.04, 0.01): util=0.28077  R̄=0.780
λ=(1.5, 0.95, 0.04, 0.02) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.31097, R̄=0.785, 1.0s
  .. 1200/12000 frames, avg util=0.25068, R̄=0.786, 2.1s
  .. 1800/12000 frames, avg util=0.21542, R̄=0.785, 3.1s
  .. 2400/12000 frames, avg util=0.24895, R̄=0.782, 4.2s
  .. 3000/12000 frames, avg util=0.25498, R̄=0.782, 5.2s
  .. 3600/12000 frames, avg util=0.26873, R̄=0.783, 6.3s
  .. 4200/12000 frames, avg util=0.28172, R̄=0.783, 7.4s
  .. 4800/12000 frames, avg util=0.28880, R̄=0.785, 8.4s
  .. 5400/12000 frames, avg util=0.27566, R̄=0.785, 9.5s
  .. 6000/12000 frames, avg util=0.28819, R̄=0.785, 10.6s
  .. 6600/12000 frames, avg util=0.28833, R̄=0.785, 11.6s
  .. 7200/12000 frames, avg util=0.26978, R̄=0.785, 12.6s
  .. 7800/12000 frames, avg util=0.26964, R̄=0.785, 13.7s
  .. 8400/12000 frames, avg util=0.28116, R̄=0.782, 14.8s
  .. 9000/12000 frames, avg util=0.28221, R̄=0.782, 15.8s
  .. 9600/12000 frames, avg util=0.28307, R̄=0.782, 16.9s
  .. 10200/12000 frames, avg util=0.28050, R̄=0.781, 18.0s
  .. 10800/12000 frames, avg util=0.27736, R̄=0.780, 19.0s
  .. 11400/12000 frames, avg util=0.28025, R̄=0.780, 20.1s
  .. 12000/12000 frames, avg util=0.28057, R̄=0.780, 21.2s
λ=(1.5, 0.95, 0.04, 0.02): util=0.28057  R̄=0.780
λ=(1.5, 0.95, 0.05, 0.01) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.30656, R̄=0.785, 1.0s
  .. 1200/12000 frames, avg util=0.24629, R̄=0.786, 2.1s
  .. 1800/12000 frames, avg util=0.21104, R̄=0.784, 3.1s
