iter	RMSE
0	440.1600539
1	433.6335584
2	427.8287261
3	421.7604572
4	416.9643792
5	412.4755081
6	408.3271777
7	404.8451634
8	401.9353663
9	399.114112
10	396.3626598
11	394.116553
12	392.1125303
13	390.1279619
14	388.5660923
15	386.7664385
16	385.3539605
17	384.2504484
18	383.1770953
19	382.1173428
20	381.1126024
21	380.462745
22	379.8612207
23	379.1560622
24	378.5848374
25	378.0370403
26	377.4230997
27	376.7697653
28	376.2700915
29	375.8955733
30	375.5262748
31	375.1290497
32	374.7204709
33	374.4226112
34	374.1355384
35	373.8033772
36	373.6351332
37	373.6069655
38	373.358274
39	373.1368128
40	372.9122597
41	372.7084185
42	372.5148065
43	372.3490194
44	372.1478117
45	372.1136487
46	371.9164751
47	371.7880493
48	371.5709375
49	371.3824895
50	371.3653619
51	371.3335356
52	371.1707135
53	371.0232368
54	370.9961467
55	370.8232434
56	370.6497218
57	370.4251848
58	370.2141787
59	370.1844385
60	370.0210334
61	369.8719405
62	369.8447956
63	369.8141295
64	369.783372
65	369.7580527
66	369.727031
67	369.6185963
68	369.5452332
69	369.4650264
70	369.3729867
71	369.348058
72	369.2686261
73	369.2457281
74	369.1240018
75	369.0938614
76	369.0714848
77	369.0495202
78	368.9335753
79	368.9117497
80	368.8028847
81	368.7785833
82	368.7507751
83	368.6268099
84	368.5968067
85	368.5690466
86	368.4510955
87	368.4232617
88	368.4000398
89	368.368912
90	368.3399016
91	368.3137151
92	368.2879358
93	368.2617534
94	368.2368488
95	368.2192582
96	368.1986843
97	368.0751777
98	368.0454285
99	367.9474924
100	367.9266213
101	367.8939651
102	367.867487
103	367.8522032
104	367.7338429
105	367.7133056
106	367.5855797
107	367.4995715
108	367.4704199
109	367.4497221
110	367.3117603
111	367.286884
112	367.2626998
113	367.2418705
114	367.1152097
115	367.0880276
116	367.0607299
117	367.032797
118	367.0043591
119	366.9720481
120	366.9452023
121	366.9107478
122	366.8837963
123	366.8564626
124	366.8333736
125	366.7221323
126	366.6932191
127	366.5789605
128	366.5493469
129	366.5249056
130	366.380488
131	366.3550624
132	366.3244367
133	366.2959012
134	366.2665938
135	366.2424563
136	366.2166663
137	366.190282
138	366.118728
139	366.0870931
140	366.0613509
141	366.0280262
142	365.9974797
143	365.9656008
144	365.9325729
145	365.9005321
146	365.7916899
147	365.758787
148	365.6679791
149	365.6380428
150	365.6044125
151	365.57137
152	365.3825864
153	365.3473258
154	365.2330129
155	365.1980358
156	365.0464137
157	365.0121041
158	364.9782385
159	364.9461003
160	364.911481
161	364.8771104
162	364.8420014
163	364.807469
164	364.7723688
165	364.5992129
166	364.4780376
167	364.4437651
168	364.4109699
169	364.3768219
170	364.3427945
171	364.200446
172	364.167093
173	364.1329357
174	364.0087264
175	363.9752898
176	363.8398795
177	363.8062364
178	363.7732818
179	363.6524326
180	363.6190864
181	363.4795034
182	363.3629029
183	363.2449995
184	363.212064
185	363.1788749
186	363.1465164
187	363.1024607
188	362.9890833
189	362.9565072
190	362.9242503
191	362.8919409
192	362.8599864
193	362.748244
194	362.6190271
195	362.5874565
196	362.555887
197	362.524596
198	362.4049601
199	362.373434
200	362.3420269
201	362.3078772
202	362.2769581
203	362.2461637
204	362.2151915
205	362.1846547
206	362.0700417
207	362.039461
208	362.0091079
209	361.9788002
210	361.9487014
211	361.9186578
212	361.8886729
213	361.8315225
214	361.8016379
215	361.7718158
216	361.7422124
217	361.6253529
218	361.5958548
219	361.5664933
220	361.537239
221	361.5079965
222	361.4051221
223	361.3085277
224	361.2794014
225	361.2503281
226	361.2214046
227	361.192566
228	361.1637545
229	361.1351305
230	361.086859
231	361.0582408
232	361.0297025
233	361.0012273
234	360.9728503
235	360.9445303
236	360.916266
237	360.8880357
238	360.8599025
239	360.8318212
240	360.8038459
241	360.7759265
242	360.7481222
243	360.7203984
244	360.6927085
245	360.6650756
246	360.6375029
247	360.6100247
248	360.5826095
249	360.5552698
250	360.5279387
251	360.5006861
252	360.4735027
253	360.4464002
254	360.4193346
255	360.3923747
256	360.3655178
257	360.3177343
258	360.2909019
259	360.2640907
260	360.1562013
261	360.1294492
262	360.1027995
263	360.076234
264	359.9773983
265	359.9508992
266	359.9244444
267	359.8980416
268	359.8716823
269	359.8453992
270	359.819188
271	359.7930186
272	359.7669263
273	359.6713774
274	359.6453356
275	359.6193156
276	359.5933424
277	359.5674353
278	359.5415564
279	359.5157263
280	359.4899673
281	359.4642663
282	359.3746762
283	359.3490087
284	359.3233805
285	359.2978087
286	359.2723161
287	359.1785417
288	359.1530722
289	359.127663
290	359.1023033
291	359.076972
292	359.0466381
293	359.0214121
294	358.9962089
295	358.9710764
296	358.945995
297	358.9209442
298	358.8959657
299	358.8710326
300	358.846148
301	358.8212914
302	358.7964728
303	358.7716942
304	358.7469745
305	358.6439576
306	358.5870284
307	358.5623369
308	358.5377067
309	358.5131193
310	358.3899758
311	358.3653955
312	358.3408287
313	358.316318
314	358.2918885
315	358.2674859
316	358.2431253
317	358.2188327
318	358.1945631
319	358.1703222
320	358.1419704
321	358.1178189
322	358.0936989
323	358.0696061
324	358.0455336
325	358.0214804
326	357.9974666
327	357.9734772
328	357.9495267
329	357.9256211
330	357.9017603
331	357.8779304
332	357.8541312
333	357.8303395
334	357.8066187
335	357.7829569
336	357.7593084
337	357.7356786
338	357.7120784
339	357.688519
340	357.6649863
341	357.6414759
342	357.5925064
343	357.5690018
344	357.5455156
345	357.5220382
346	357.4985922
347	357.4751826
348	357.4530474
349	357.4296899
350	357.4063421
351	357.3830054
352	357.3558398
353	357.3325277
354	357.3092553
355	357.2860069
356	357.2627886
357	357.1682795
358	357.1450726
359	357.1219083
360	357.0987733
361	356.9979018
362	356.9747773
363	356.9516654
364	356.9286139
365	356.905624
366	356.882663
367	356.8597337
368	356.8368338
369	356.8139452
370	356.7910751
371	356.76823
372	356.7454003
373	356.7225868
374	356.6997846
375	356.6769978
376	356.6542465
377	356.6315059
378	356.6087683
379	356.5657468
380	356.5430119
381	356.4551007
382	356.4323619
383	356.4096473
384	356.3869493
385	356.3642745
386	356.3416234
387	356.3189926
388	356.2963925
389	356.2738168
390	356.2512572
391	356.2287292
392	356.206222
393	356.1837323
394	356.161261
395	356.1388361
396	356.1164457
397	356.0940917
398	356.071758
399	355.9905054
400	355.9682113
401	355.9459268
402	355.9236557
403	355.9014213
404	355.8792183
405	355.8570376
406	355.8348696
407	355.8127164
408	355.7905833
409	355.7684738
410	355.7463761
411	355.7242935
412	355.7022208
413	355.6801657
414	355.658119
415	355.6360754
416	355.614036
417	355.5920009
418	355.5120125
419	355.4899611
420	355.4679593
421	355.4459797
422	355.4240159
423	355.4020771
424	355.3801529
425	355.3582433
426	355.3363548
427	355.265051
428	355.2431713
429	355.2213161
430	355.1994829
431	355.1776737
432	355.1558916
433	355.1341299
434	355.1124079
435	355.0907072
436	355.0690188
437	355.0473534
438	355.0257015
439	355.0040788
440	354.9824754
441	354.9608858
442	354.9393241
443	354.9177857
444	354.8962701
445	354.8747615
446	354.8532602
447	354.8317693
448	354.8102965
449	354.7888347
450	354.7673977
451	354.7459754
452	354.7245641
453	354.6459296
454	354.6245213
455	354.6031221
456	354.5817276
457	354.5603358
458	354.5389475
459	354.5175669
460	354.4961974
461	354.4748393
462	354.4535052
463	354.432193
464	354.4108973
465	354.3896137
466	354.3683382
467	354.3470804
468	354.325839
469	354.3046083
470	354.2833988
471	354.2622049
472	354.2410306
473	354.2198785
474	354.1987474
475	354.1776301
476	354.1565335
477	354.1354501
478	354.1143904
479	354.0933392
480	354.0723097
481	354.0512969
482	354.0302872
483	353.9949715
484	353.9739887
485	353.9530225
486	353.9320601
487	353.9111138
488	353.8750577
489	353.8348206
490	353.813883
491	353.7929635
492	353.7720664
493	353.7511796
494	353.7303045
495	353.7094386
496	353.6885868
497	353.6475892
498	353.6267457
499	353.5538861
500	353.5330494
501	353.5122261
502	353.4914147
503	353.4666449
504	353.4458516
505	353.4250725
506	353.4042962
507	353.3835233
508	353.3627552
509	353.3419956
510	353.3212521
511	353.2984535
512	353.2760755
513	353.2553775
514	353.2346948
515	353.21274
516	353.192072
517	353.1704812
518	353.1492273
519	353.0704377
520	353.0494949
521	353.0288635
522	353.0082453
523	352.9876377
524	352.9670556
525	352.9464896
526	352.9259522
527	352.9054319
528	352.8848804
529	352.8644105
530	352.8439517
531	352.8235126
532	352.8030851
533	352.7826685
534	352.7622549
535	352.7418491
536	352.7216384
537	352.7012519
538	352.6808844
539	352.6082888
540	352.5878834
541	352.5675466
542	352.5472209
543	352.5269188
544	352.5066348
545	352.4863604
546	352.4660892
547	352.445833
548	352.4255905
549	352.405358
550	352.3851383
551	352.3649305
552	352.3447234
553	352.3245301
554	352.3043556
555	352.2841907
556	352.2640301
557	352.2438724
558	352.2237216
559	352.2035808
560	352.183459
561	352.1633515
562	352.1432521
563	352.1231723
564	352.1031109
565	352.0830559
566	352.0630069
567	352.0429607
568	352.0229273
569	352.0029131
570	351.93108
571	351.9110738
572	351.8910816
573	351.8711105
574	351.8511509
575	351.831209
576	351.8112875
577	351.791383
578	351.7714937
579	351.7516274
580	351.7317796
581	351.7119486
582	351.6921283
583	351.6723184
584	351.6525142
585	351.6327152
586	351.6129197
587	351.5931305
588	351.5733592
589	351.5054138
590	351.4856448
591	351.4659081
592	351.4461856
593	351.4264731
594	351.4067833
595	351.3871086
596	351.3674437
597	351.3477845
598	351.3281467
599	351.3085202
600	351.2889117
601	351.2693125
602	351.2497176
603	351.2301372
604	351.2105732
605	351.191016
606	351.1333216
607	351.1137593
608	351.0942034
609	351.0746547
610	351.0551153
611	351.035587
612	351.0160734
613	350.9965684
614	350.9770724
615	350.9575947
616	350.938131
617	350.9186741
618	350.8992227
619	350.8797754
620	350.8603484
621	350.8409327
622	350.8215314
623	350.8021418
624	350.7827737
625	350.7634143
626	350.7440723
627	350.7247463
628	350.7054378
629	350.6861425
630	350.6668623
631	350.6370765
632	350.6178143
633	350.5985597
634	350.5793286
635	350.5601022
636	350.5408857
637	350.5216709
638	350.5024683
639	350.4832675
640	350.4640771
641	350.4449009
642	350.4257398
643	350.4065916
644	350.3874496
645	350.3683264
646	350.3492205
647	350.330124
648	350.3110397
649	350.2919638
650	350.2729089
651	350.2538642
652	350.2348334
653	350.2158104
654	350.1967931
655	350.1777904
656	350.1588006
657	350.139817
658	350.1208361
659	350.1018609
660	350.0828926
661	350.0639314
662	350.0449803
663	350.0260424
664	350.0071162
665	349.988196
666	349.9692887
667	349.9503993
668	349.9315174
669	349.9126424
670	349.8937699
671	349.8749045
672	349.8560474
673	349.8371983
674	349.8183616
675	349.7995376
676	349.7807269
677	349.7619352
678	349.7431522
679	349.7243881
680	349.7056373
681	349.6869041
682	349.6681813
683	349.6494733
684	349.6307848
685	349.6121031
686	349.5934426
687	349.5747871
688	349.5561396
689	349.5374956
690	349.5188613
691	349.5002316
692	349.481608
693	349.391775
694	349.3731137
695	349.354491
696	349.3358889
697	349.3173006
698	349.2987314
699	349.2801766
700	349.195247
701	349.1766766
