iter	Passed	Remaining
0	234	233783
1	300	150113
2	365	121569
3	447	111353
4	495	98612
5	564	93443
6	628	89215
7	697	86548
8	759	83633
9	806	79854
10	878	78940
11	934	76967
12	1001	76057
13	1066	75079
14	1129	74199
15	1197	73663
16	1266	73221
17	1331	72629
18	1398	72214
19	1455	71315
20	1514	70598
21	1581	70297
22	1638	69616
23	1697	69023
24	1777	69312
25	1849	69291
26	1961	70692
27	2016	69999
28	2076	69516
29	2136	69085
30	2201	68822
31	2266	68552
32	2335	68444
33	2415	68636
34	2487	68573
35	2557	68471
36	2633	68536
37	2706	68521
38	2778	68460
39	2846	68321
40	2915	68201
41	2982	68037
42	3049	67875
43	3113	67645
44	3190	67714
45	3261	67635
46	3340	67728
47	3410	67639
48	3476	67474
49	3545	67363
50	3616	67295
51	3690	67278
52	3767	67316
53	3831	67129
54	3893	66891
55	3975	67023
56	4044	66912
57	4109	66744
58	4172	66554
59	4246	66527
60	4312	66380
61	4374	66188
62	4441	66065
63	4508	65943
64	4564	65652
65	4624	65447
66	4684	65232
67	4747	65070
68	4820	65044
69	4889	64958
70	4952	64798
71	5011	64589
72	5067	64349
73	5129	64182
74	5192	64045
75	5241	63724
76	5321	63783
77	5379	63593
78	5456	63615
79	5531	63608
80	5602	63569
81	5659	63353
82	5709	63075
83	5774	62967
84	5834	62811
85	5887	62567
86	5952	62465
87	6015	62346
88	6065	62087
89	6123	61915
90	6181	61745
91	6228	61469
92	6296	61412
93	6359	61294
94	6433	61291
95	6494	61157
96	6559	61067
97	6613	60872
98	6656	60577
99	6712	60413
100	6779	60342
101	6837	60195
102	6905	60140
103	6974	60087
104	7023	59865
105	7079	59706
106	7161	59766
107	7239	59792
108	7300	59675
109	7368	59613
110	7420	59427
111	7474	59265
112	7541	59198
113	7599	59066
114	7666	58995
115	7723	58858
116	7799	58864
117	7875	58867
118	7937	58760
119	8000	58669
120	8063	58577
121	8123	58464
122	8176	58299
123	8239	58208
124	8300	58103
125	8364	58020
126	8419	57875
127	8479	57769
128	8543	57685
129	8607	57605
130	8659	57446
131	8732	57421
132	8799	57361
133	8842	57146
134	8902	57044
135	8954	56887
136	9018	56810
137	9076	56697
138	9129	56552
139	9187	56437
140	9249	56347
141	9295	56163
142	9359	56092
143	9414	55965
144	9475	55870
145	9540	55806
146	9602	55721
147	9649	55550
148	9701	55406
149	9762	55323
150	9822	55228
151	9883	55139
152	9941	55038
153	10001	54945
154	10068	54887
155	10127	54790
156	10189	54713
157	10240	54570
158	10297	54467
159	10360	54395
160	10421	54308
161	10483	54230
162	10544	54143
163	10603	54051
164	10665	53974
165	10719	53856
166	10777	53758
167	10835	53663
168	10895	53573
169	10963	53526
170	11028	53466
171	11095	53411
172	11146	53286
173	11207	53202
174	11269	53129
175	11330	53045
176	11387	52947
177	11428	52774
178	11500	52746
179	11572	52717
180	11633	52641
181	11695	52564
182	11757	52491
183	11821	52426
184	11875	52317
185	11953	52312
186	12021	52262
187	12085	52199
188	12159	52176
189	12219	52095
190	12277	52003
191	12339	51927
192	12399	51848
193	12470	51809
194	12539	51765
195	12595	51669
196	12663	51619
197	12722	51533
198	12790	51483
199	12834	51339
200	12888	51231
201	12962	51207
202	13028	51152
203	13081	51041
204	13145	50977
205	13204	50895
206	13263	50813
207	13322	50727
208	13381	50646
209	13449	50593
210	13507	50508
211	13568	50435
212	13637	50387
213	13703	50331
214	13769	50276
215	13833	50209
216	13900	50157
217	13965	50096
218	14025	50019
219	14083	49932
220	14147	49868
221	14218	49829
222	14283	49766
223	14335	49661
224	14396	49588
225	14457	49513
226	14518	49438
227	14577	49359
228	14628	49249
229	14690	49182
230	14766	49157
231	14831	49097
232	14892	49024
233	14954	48953
234	15020	48896
235	15080	48820
236	15140	48743
237	15210	48700
238	15268	48617
239	15333	48555
240	15395	48486
241	15461	48430
242	15524	48363
243	15593	48313
244	15654	48241
245	15715	48169
246	15784	48121
247	15852	48069
248	15915	48003
249	15977	47931
250	16037	47857
251	16101	47792
252	16165	47728
253	16228	47663
254	16286	47581
255	16348	47513
256	16408	47437
257	16473	47376
258	16539	47320
259	16606	47264
260	16671	47204
261	16735	47140
262	16801	47081
263	16866	47022
264	16929	46955
265	16993	46890
266	17059	46833
267	17118	46756
268	17181	46689
269	17248	46634
270	17315	46579
271	17383	46527
272	17447	46462
273	17513	46405
274	17575	46335
275	17634	46258
276	17699	46196
277	17762	46130
278	17836	46093
279	17902	46034
280	17962	45961
281	18022	45887
282	18087	45825
283	18146	45748
284	18205	45674
285	18266	45602
286	18335	45551
287	18399	45488
288	18458	45411
289	18511	45322
290	18577	45263
291	18637	45189
292	18687	45092
293	18749	45024
294	18819	44976
295	18886	44919
296	18941	44835
297	19001	44760
298	19063	44692
299	19114	44600
300	19174	44529
301	19232	44450
302	19292	44378
303	19355	44312
304	19397	44199
305	19453	44120
306	19499	44017
307	19561	43950
308	19621	43879
309	19688	43822
310	19764	43786
311	19818	43703
312	19880	43634
313	19939	43562
314	20009	43512
315	20079	43463
316	20148	43412
317	20218	43362
318	20281	43296
319	20341	43225
320	20405	43162
321	20473	43108
322	20536	43043
323	20609	43000
324	20663	42916
325	20738	42876
326	20808	42826
327	20886	42791
328	20952	42733
329	20995	42627
330	21061	42568
331	21116	42487
332	21170	42405
333	21228	42330
334	21289	42261
335	21350	42192
336	21411	42123
337	21472	42055
338	21534	41988
339	21594	41918
340	21654	41849
341	21713	41775
342	21769	41698
343	21825	41621
344	21861	41505
345	21896	41388
346	21933	41275
347	21973	41168
348	22009	41054
349	22045	40942
350	22081	40829
351	22118	40719
352	22155	40607
353	22191	40495
354	22228	40387
355	22266	40280
356	22303	40171
357	22340	40062
358	22378	39957
359	22415	39849
360	22452	39743
361	22488	39634
362	22524	39526
363	22560	39419
364	22599	39316
365	22637	39213
366	22676	39112
367	22714	39008
368	22752	38907
369	22792	38808
370	22831	38708
371	22869	38607
372	22905	38503
373	22944	38405
374	22983	38305
375	23018	38200
376	23055	38100
377	23102	38015
378	23140	37916
379	23179	37818
380	23216	37719
381	23255	37622
382	23294	37526
383	23332	37429
384	23372	37334
385	23409	37237
386	23447	37140
387	23486	37045
388	23523	36948
389	23560	36851
390	23599	36757
391	23637	36661
392	23674	36565
393	23710	36468
394	23747	36372
395	23784	36277
396	23822	36183
397	23860	36089
398	23896	35995
399	23934	35902
400	23972	35809
401	24010	35717
402	24048	35625
403	24084	35530
404	24119	35435
405	24157	35343
406	24192	35248
407	24233	35161
408	24278	35082
409	24321	34998
410	24361	34912
411	24402	34826
412	24441	34738
413	24480	34651
414	24518	34562
415	24557	34475
416	24599	34391
417	24644	34314
418	24691	34238
419	24736	34159
420	24779	34079
421	24823	34000
422	24868	33922
423	24915	33846
424	24961	33771
425	25010	33700
426	25053	33619
427	25090	33532
428	25128	33445
429	25164	33358
430	25200	33269
431	25236	33181
432	25274	33096
433	25321	33022
434	25359	32937
435	25398	32854
436	25438	32772
437	25476	32689
438	25516	32608
439	25556	32526
440	25596	32445
441	25636	32364
442	25681	32289
443	25724	32213
444	25761	32129
445	25800	32048
446	25839	31966
447	25877	31885
448	25915	31803
449	25952	31719
450	25990	31638
451	26027	31555
452	26065	31474
453	26104	31394
454	26142	31313
455	26178	31230
456	26215	31148
457	26253	31069
458	26291	30988
459	26329	30908
460	26367	30828
461	26405	30748
462	26446	30673
463	26486	30596
464	26524	30517
465	26561	30437
466	26597	30356
467	26633	30275
468	26669	30194
469	26705	30115
470	26750	30044
471	26790	29969
472	26828	29891
473	26865	29812
474	26905	29737
475	26945	29663
476	26983	29585
477	27021	29509
478	27059	29431
479	27099	29357
480	27137	29280
481	27173	29202
482	27210	29126
483	27255	29057
484	27293	28981
485	27330	28904
486	27367	28828
487	27405	28753
488	27443	28677
489	27481	28603
490	27519	28527
491	27559	28455
492	27598	28382
493	27637	28308
494	27673	28232
495	27711	28158
496	27751	28086
497	27792	28015
498	27831	27943
499	27873	27873
500	27913	27802
501	27952	27729
502	27992	27658
503	28032	27587
504	28071	27515
505	28111	27445
506	28151	27373
507	28189	27301
508	28229	27230
509	28269	27160
510	28309	27090
511	28347	27018
512	28387	26948
513	28426	26878
514	28465	26807
515	28503	26735
516	28542	26665
517	28582	26595
518	28621	26526
519	28661	26457
520	28702	26388
521	28741	26319
522	28781	26249
523	28820	26180
524	28860	26112
525	28900	26043
526	28939	25973
527	28978	25905
528	29018	25836
529	29057	25768
530	29096	25698
531	29136	25631
532	29175	25562
533	29213	25493
534	29255	25427
535	29296	25361
536	29338	25295
537	29378	25228
538	29418	25160
539	29458	25094
540	29499	25028
541	29541	24962
542	29581	24896
543	29623	24831
544	29664	24766
545	29707	24701
546	29752	24639
547	29795	24576
548	29845	24518
549	29890	24456
550	29937	24395
551	29984	24335
552	30031	24275
553	30079	24215
554	30127	24156
555	30178	24099
556	30232	24044
557	30285	23989
558	30339	23935
559	30393	23880
560	30444	23823
561	30494	23766
562	30546	23709
563	30605	23659
564	30657	23603
565	30718	23554
566	30773	23500
567	30844	23458
568	30911	23414
569	30972	23365
570	31031	23314
571	31092	23264
572	31153	23215
573	31217	23168
574	31282	23121
575	31340	23070
576	31398	23018
577	31454	22965
578	31510	22912
579	31567	22859
580	31621	22804
581	31673	22748
582	31723	22690
583	31778	22636
584	31827	22578
585	31876	22520
586	31927	22463
587	31977	22405
588	32027	22348
589	32081	22294
590	32138	22241
591	32195	22188
592	32250	22134
593	32310	22084
594	32364	22029
595	32419	21975
596	32475	21922
597	32533	21870
598	32596	21821
599	32654	21769
600	32721	21723
601	32788	21677
602	32845	21624
603	32900	21570
604	32956	21517
605	33010	21462
606	33066	21408
607	33120	21353
608	33172	21298
609	33224	21241
610	33276	21185
611	33328	21129
612	33385	21077
613	33444	21025
614	33499	20970
615	33552	20915
616	33604	20859
617	33654	20802
618	33702	20744
619	33752	20687
620	33801	20628
621	33851	20572
622	33900	20514
623	33952	20458
624	34003	20401
625	34049	20342
626	34101	20286
627	34151	20229
628	34198	20171
629	34248	20114
630	34299	20057
631	34349	20001
632	34397	19943
633	34445	19885
634	34492	19826
635	34538	19767
636	34586	19709
637	34632	19650
638	34678	19591
639	34727	19534
640	34774	19475
641	34822	19418
642	34868	19359
643	34916	19301
644	34967	19245
645	35016	19188
646	35065	19131
647	35113	19073
648	35162	19016
649	35208	18958
650	35256	18900
651	35304	18843
652	35352	18786
653	35400	18728
654	35445	18669
655	35489	18610
656	35534	18551
657	35581	18493
658	35631	18437
659	35676	18378
660	35721	18320
661	35766	18261
662	35809	18202
663	35853	18142
664	35900	18085
665	35949	18028
666	35997	17971
667	36049	17917
668	36100	17861
669	36150	17805
670	36197	17748
671	36246	17691
672	36294	17634
673	36342	17578
674	36390	17521
675	36438	17464
676	36486	17407
677	36533	17350
678	36579	17293
679	36625	17235
680	36672	17178
681	36718	17120
682	36770	17066
683	36821	17011
684	36872	16955
685	36925	16901
686	36982	16849
687	37039	16796
688	37095	16744
689	37153	16692
690	37211	16640
691	37264	16585
692	37318	16532
693	37376	16479
694	37431	16426
695	37487	16373
696	37544	16321
697	37598	16267
698	37656	16215
699	37712	16162
700	37769	16110
701	37825	16057
702	37882	16004
703	37937	15950
704	37995	15898
705	38052	15846
706	38111	15794
707	38166	15741
708	38216	15685
709	38269	15631
710	38321	15576
711	38375	15522
712	38428	15468
713	38485	15415
714	38537	15361
715	38584	15304
716	38630	15247
717	38676	15190
718	38720	15132
719	38765	15075
720	38810	15018
721	38854	14960
722	38899	14903
723	38943	14845
724	38987	14788
