class1,class2,class3,class5,class9
0,0,0,1,0
0,0,0,1,1
0,0,0,0,1
0,0,0,0,0
0,0,1,1,0
0,1,1,1,0
0,0,1,1,1
0,0,0,1,1
0,1,1,1,1
1,1,1,1,1
0,1,1,1,1
0,1,0,0,0
0,0,1,0,1
1,0,1,1,1
0,0,1,1,1
1,0,0,0,1
1,0,0,1,1
1,0,1,1,0
0,1,1,0,0
1,0,0,1,0
0,0,1,0,1
1,1,1,1,0
1,0,0,0,0
1,0,1,1,0
1,1,0,1,1
0,1,1,1,0
0,0,1,1,1
1,1,1,0,0
0,1,0,1,0
1,0,0,0,1
0,0,0,1,0
0,0,1,0,0
1,1,0,1,0
0,1,0,1,1
0,1,1,1,1
0,1,1,0,0
1,1,0,1,0
1,0,1,0,0
0,0,0,1,0
1,0,1,0,0
1,0,1,0,1
1,1,0,0,1
0,1,0,1,0
1,1,1,0,1
1,0,0,1,1
1,1,1,1,1
0,1,1,1,0
1,0,1,0,1
1,0,0,1,1
0,1,0,0,0
0,1,0,0,1
0,1,1,0,0
1,0,0,0,0
0,1,0,1,0
0,1,0,0,0
0,1,1,1,1
1,0,1,0,1
0,1,1,1,1
1,1,1,1,1
1,0,0,1,1
1,0,0,1,1
0,0,1,0,1
0,0,0,0,0
0,0,0,0,1
1,0,1,1,1
1,1,0,1,1
1,1,1,0,0
0,1,1,0,1
0,1,0,1,1
1,0,0,1,0
0,1,1,0,1
1,1,1,0,1
0,0,1,1,1
1,0,0,1,0
0,1,0,0,0
0,1,0,1,1
0,1,0,1,1
1,0,1,1,1
1,1,0,1,0
1,0,0,0,1
0,1,1,0,0
1,0,0,0,1
0,1,1,0,1
1,1,1,1,0
0,1,1,0,1
0,0,1,1,0
1,1,1,0,1
1,0,0,1,0
0,0,1,1,0
1,1,0,0,1
1,1,1,0,0
0,1,1,0,1
1,1,1,1,0
1,1,1,0,0
0,0,0,1,0
0,1,0,0,0
0,0,1,1,1
1,1,1,1,0
0,0,1,1,1
0,0,1,0,0
0,0,1,1,0
0,0,0,0,0
0,0,1,1,1
1,0,0,0,1
1,0,1,0,1
1,1,0,1,0
0,1,0,0,0
0,0,0,1,1
1,0,1,1,0
0,1,0,1,1
0,1,1,0,0
0,1,0,0,0
1,0,1,0,0
0,1,0,0,1
0,1,0,1,0
0,1,1,1,1
1,1,0,0,0
0,1,0,0,1
1,0,0,0,1
1,0,1,1,1
0,1,0,0,0
0,0,0,0,0
0,0,0,1,1
1,0,1,0,0
1,0,0,1,1
1,0,1,1,0
1,0,0,0,0
1,0,1,0,0
0,0,1,0,1
0,0,0,1,1
1,0,1,1,1
1,0,0,0,1
1,1,1,0,1
0,0,1,0,1
0,0,0,1,0
1,0,0,0,1
1,0,1,1,0
0,0,0,1,0
0,1,0,1,1
1,0,0,1,1
0,0,1,0,0
0,0,0,0,1
1,0,1,1,0
0,1,1,0,1
0,1,1,1,1
0,1,0,1,0
0,1,1,0,1
0,1,0,0,0
1,0,1,0,0
1,0,1,0,0
0,1,0,1,1
1,1,1,1,0
1,1,1,1,0
1,1,1,0,1
1,1,0,0,0
0,1,0,1,1
0,0,0,1,0
1,1,1,0,1
1,1,1,0,0
1,0,1,1,0
1,0,0,1,1
0,0,0,0,0
1,1,1,1,1
1,0,0,1,1
1,0,1,1,1
1,1,1,0,0
1,1,0,1,1
0,1,1,0,1
1,0,1,0,1
1,0,0,0,1
0,0,1,1,0
1,0,0,0,0
0,1,1,1,0
1,1,1,1,1
0,0,1,0,1
1,1,0,1,0
0,0,1,0,1
1,0,0,0,1
1,0,1,1,1
0,0,0,0,1
1,1,1,0,1
0,1,0,0,1
0,0,0,1,1
1,1,1,1,1
0,0,1,0,1
1,1,0,0,0
1,1,1,1,1
1,0,1,0,0
0,0,1,1,1
0,1,1,0,0
0,0,1,0,0
1,1,0,1,0
0,1,1,0,0
1,0,0,1,0
1,0,1,0,0
1,1,1,1,1
0,0,0,1,0
1,0,1,0,1
0,0,1,1,0
1,0,0,1,0
1,0,0,0,1
1,0,1,1,0
1,1,0,0,0
1,0,0,1,1
1,1,0,0,1
1,1,1,1,0
1,0,0,1,1
1,0,1,0,0
1,0,0,1,0
1,1,0,1,0
0,0,0,0,0
0,1,0,1,0
1,1,1,0,1
0,1,0,1,0
1,0,0,0,1
1,0,1,1,1
1,1,1,0,0
1,0,0,0,1
0,0,1,1,0
0,1,1,1,1
0,1,0,0,1
1,1,0,1,0
0,0,0,1,1
1,1,0,1,0
1,1,0,0,1
0,0,1,0,0
0,1,1,1,0
1,0,1,1,1
1,0,1,0,0
0,0,1,1,1
1,0,0,1,0
1,0,1,0,1
1,0,0,1,0
1,1,1,1,1
0,1,0,1,0
0,0,1,0,1
0,0,0,1,1
1,1,0,0,1
0,1,0,0,1
0,0,0,1,1
