G (mkS),B (mkS),class1,class2,class3,class5,class9
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
0.0,0.0,0,0,0,0,0
